Unnamed: 0,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA,area_general,subcampo,CVE_AREA_CONOCIMIENTO,DESC_AREA_CONOCIMIENTO,ID_CAMPO,CVE_CAMPO,DESC_CAMPO,similitud
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
6,7,536,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS QUÍMICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,69.38775510204081
7,8,94,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS: EN LA ESPECIALIDAD DE CIENCIA DE MATERIALES,Ciencias Naturales,Ciencias,9,Interdisciplinaria,211,12,A1 - CIENCIAS DE LA TIERRA Y DEL ESPACIO,56.60377358490566
8,9,92,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS: FÍSICA,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,62.5
9,10,417,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS: FÍSICA APLICADA,Ciencias Naturales,Ciencias,9,Interdisciplinaria,246,52,A6 - CIENCIAS ECONÓMICAS,54.83870967741935
10,11,413,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN CIENCIAS: MATEMÁTICAS,Ciencias Naturales,Ciencias,6,Ciencias Sociales,187,52,CIENCIAS ECONÓMICAS,64.15094339622642
11,12,1324,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DERECHO,Ciencias Sociales,Derecho,6,Ciencias Sociales,188,53,CIENCIAS JURÍDICAS Y DERECHO,50.0
11,12,1324,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DERECHO,Ciencias Sociales,Derecho,6,Ciencias Sociales,188,53,CIENCIAS JURÍDICAS Y DERECHO,50.0
11,12,1324,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DERECHO,Ciencias Sociales,Derecho,6,Ciencias Sociales,188,53,CIENCIAS JURÍDICAS Y DERECHO,50.0
11,12,1324,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DERECHO,Ciencias Sociales,Derecho,6,Ciencias Sociales,188,53,CIENCIAS JURÍDICAS Y DERECHO,50.0
11,12,1324,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DERECHO,Ciencias Sociales,Derecho,6,Ciencias Sociales,188,53,CIENCIAS JURÍDICAS Y DERECHO,50.0
11,12,1324,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DERECHO,Ciencias Sociales,Derecho,6,Ciencias Sociales,188,53,CIENCIAS JURÍDICAS Y DERECHO,50.0
12,13,787,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN DISPOSITIVOS SEMICONDUCTORES,Otros,,6,Ciencias Sociales,195,59,ADMINISTRACIÓN Y NEGOCIOS,42.42424242424242
13,14,2103,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN ECONOMÍA POLÍTICA DEL DESARROLLO,Ciencias Sociales,Economía,9,Interdisciplinaria,244,50,A6 - CIENCIA POLÍTICA,48.484848484848484
14,15,6790,PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,DOCTORADO EN EDUCACIÓN MATEMÁTICA,Ciencias Sociales,Educación,9,Interdisciplinaria,214,15,A1 - MATEMÁTICAS,53.06122448979591
