,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA
127,128,2131,COAHUILA,"CENTRO DE INVESTIGACION EN QUIMICA 
APLICADA, A.C.",MAESTRÍA EN CIENCIAS EN AGROPLASTICULTURA
128,129,1783,COAHUILA,"CENTRO DE INVESTIGACION EN QUIMICA 
APLICADA, A.C.",MAESTRÍA EN TECNOLOGÍA DE POLÍMEROS
129,130,4277,JALISCO,"CENTRO DE INVESTIGACION Y ASISTENCIA EN 
TECNOLOGIA Y DISEÑO DEL ESTADO DE JALISCO AC",DOCTORADO EN CIENCIAS EN INNOVACIÓN BIOTECNOLÓGICA
130,131,7446,JALISCO,"CENTRO DE INVESTIGACION Y ASISTENCIA EN 
TECNOLOGIA Y DISEÑO DEL ESTADO DE JALISCO AC","ESPECIALIDAD NACIONAL PARA EL BIENESTAR COMUNITARIO EN AGROECOLOGÍAS Y 
SOBERANÍAS ALIMENTARIAS  ENBC ASA"
131,132,2520,JALISCO,"CENTRO DE INVESTIGACION Y ASISTENCIA EN 
TECNOLOGIA Y DISEÑO DEL ESTADO DE JALISCO AC",MAESTRIA EN CIENCIAS DE LA FLORICULTURA
132,133,4275,JALISCO,"CENTRO DE INVESTIGACION Y ASISTENCIA EN 
TECNOLOGIA Y DISEÑO DEL ESTADO DE JALISCO AC",MAESTRÍA EN CIENCIAS EN INNOVACIÓN BIOTECNOLÓGICA
133,134,2246,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.","DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN DESARROLLO CIENTÍFICO Y TECNOLÓGICO 
PARA LA SOCIEDAD"
134,135,1932,YUCATÁN,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN FÍSICA APLICADA Y FÍSICA TEÓRICA
135,136,347,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS CON ESPECIALIDAD EN MATEMÁTICAS
136,137,298,CIUDAD DE MÉXICO,"CENTRO DE INVESTIGACION Y DE ESTUDIOS 
AVANZADOS DEL INSTITUTO POLITÉCNICO 
NACIONAL.",DOCTORADO EN CIENCIAS EN BIOLOGÍA CELULAR
