,No,CVE,ENTIDAD,INSTITUCION,PROGRAMA
1178,1179,5686,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS BIOLÓGICAS
1179,1180,4323,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS BIOMÉDICAS
1180,1181,2829,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS DE LA INFORMACIÓN
1181,1182,3615,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
1182,1183,6287,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS DE LA NUTRICIÓN
1183,1184,7217,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS DE LA TIERRA Y EL ESPACIO
1184,1185,2826,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS DEL DERECHO
1185,1186,6344,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS EN BIOMEDICINA MOLECULAR
1186,1187,7310,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS EN ENFERMERÍA
1187,1188,2818,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS EN RECURSOS ACUÁTICOS
1188,1189,1587,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN CIENCIAS SOCIALES
1189,1190,791,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN EDUCACIÓN
1190,1191,625,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN ESTUDIOS FISCALES
1191,1192,853,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN ESTUDIOS REGIONALES CON ÉNFASIS EN AMÉRICA DEL NORTE
1192,1193,2831,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN HISTORIA
1193,1194,6770,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN INGENIERÍA DE LA CONSTRUCCIÓN
1194,1195,2819,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,DOCTORADO EN TRABAJO SOCIAL
1195,1196,2615,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,ESPECIALIDAD EN ENDODONCIA
1196,1197,4096,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN ARQUITECTURA Y URBANISMO
1197,1198,2791,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS
1198,1199,5435,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS AGROPECUARIAS
1199,1200,6042,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS BIOLÓGICAS
1200,1201,2892,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS BIOMÉDICAS
1201,1202,5147,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS CLÍNICAS
1202,1203,3680,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS CON ORIENTACIÓN EN BIOTECNOLOGÍA
1203,1204,2828,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS DE LA INFORMACIÓN
1204,1205,2009,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA
1205,1206,5805,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS DE LA NUTRICIÓN Y ALIMENTOS MEDICINALES
1206,1207,7216,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS DE LA TIERRA Y EL ESPACIO
1207,1208,2827,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS DEL DERECHO
1208,1209,1975,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS ECONÓMICAS Y SOCIALES
1209,1210,5554,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS EN BIOMEDICINA MOLECULAR
1210,1211,5560,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS EN ENFERMERÍA
1211,1212,1987,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS EN RECURSOS ACUÁTICOS
1212,1213,1926,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN CIENCIAS SOCIALES CON ÉNFASIS EN ESTUDIOS REGIONALES
1213,1214,7194,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN DIRECCIÓN DE ORGANIZACIONES TURÍSTICAS
1214,1215,1004,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN DOCENCIA EN CIENCIAS DE LA SALUD
1215,1216,771,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN EDUCACIÓN
1216,1217,6126,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN ENFERMERÍA
1217,1218,6258,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN ESTUDIOS POLÍTICOS Y SOCIALES
1218,1219,1972,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN FÍSICA
1219,1220,7296,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN GESTIÓN ORGANIZACIONAL
1220,1221,2793,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN HISTORIA
1221,1222,5080,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN INGENIERÍA DE LA CONSTRUCCIÓN
1222,1223,7126,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN ODONTOLOGÍA INTEGRAL DEL NIÑO Y ADOLESCENTE
1223,1224,7311,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN PRODUCCIÓN AGRÍCOLA SUSTENTABLE
1224,1225,7125,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN REHABILITACIÓN ORAL AVANZADA
1225,1226,7131,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN TERAPIA FAMILIAR
1226,1227,2820,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN TRABAJO SOCIAL
1227,1228,6475,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN TRABAJO SOCIAL
1228,1229,7154,SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,MAESTRÍA EN VIOLENCIAS DE GÉNERO
1229,1230,6370,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN ARQUITECTURA CON ÉNFASIS EN VIVIENDA
1230,1231,5793,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN CIENCIAS BIOMÉDICAS
1231,1232,5377,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN CIENCIAS DE LA COMPUTACIÓN
1232,1233,7449,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
1233,1234,6519,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN CIENCIAS EN SANIDAD Y PRODUCCIÓN ANIMAL
1234,1235,2275,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN CIENCIAS SISTEMAS AGROPECUARIOS Y MEDIO AMBIENTE
1235,1236,2337,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN ECOLOGIA Y MANEJO DE RECURSOS NATURALES
1236,1237,5919,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN GESTIÓN E INNOVACIÓN EDUCATIVA
1237,1238,7272,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,DOCTORADO EN UNA SOLA SALUD
1238,1239,1055,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,ESPECIALIDAD EN ENFERMERÍA
1239,1240,6326,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,ESPECIALIDAD EN REPRODUCCIÓN ANIMAL
1240,1241,1065,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,ESPECIALIDAD EN TELECOMUNICACIÓNES E INFORMÁTICA
1241,1242,657,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN ANÁLISIS CLÍNICOS
1242,1243,6903,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES
1243,1244,4306,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN CIENCIA POLÍTICA Y ADMINISTRACIÓN PÚBLICA
1244,1245,6923,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN CIENCIAS CON ORIENTACIÓN EN TRABAJO SOCIAL
1245,1246,7448,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA
1246,1247,5642,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN CIENCIAS E INGENIERÍA DE DATOS
1247,1248,6325,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN CIENCIAS EN SANIDAD Y PRODUCCIÓN ANIMAL
1248,1249,2277,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN CIENCIAS SISTEMAS AGROPECUARIOS Y MEDIO AMBIENTE
1249,1250,1736,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN CIENCIAS Y TECNOLOGÍA DE ALIMENTOS
1250,1251,1954,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN CRIMINOLOGÍA Y CIENCIAS FORENSES
1251,1252,6732,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN DERECHO Y PROCESO ORALES
1252,1253,7270,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN ENFERMERÍA
1253,1254,5375,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN GESTIÓN E INTERVENCIÓN EDUCATIVA
1254,1255,2331,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN INGENIERÍA ELÉCTRICA Y ELECTRÓNICA
1255,1256,6787,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN INGENIERÍA PORTUARIA
1256,1257,7305,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN INNOVACIÓN EDUCATIVA Y TECNOLOGÍAS PARA EL APRENDIZAJE
1257,1258,2298,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN PSICOLOGÍA CLÍNICA Y DE LA SALUD
1258,1259,7261,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN PSICOLOGÍA CLÍNICA Y EDUCATIVA
1259,1260,7343,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN PSICOLOGÍA EDUCATIVA
1260,1261,7436,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN SALUD LABORAL Y PREVENCIÓN DE RIESGOS
1261,1262,7268,TAMAULIPAS,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,MAESTRÍA EN TECNOLOGÍAS PARA EL APRENDIZAJE
1262,1263,6938,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,DOCTORADO EN CIENCIAS APLICADAS A LA EDUCACIÓN ESPECIAL
1263,1264,2072,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,DOCTORADO EN CIENCIAS BIOLÓGICAS
1264,1265,6952,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,DOCTORADO EN CIENCIAS EN INGENIERÍA QUÍMICA
1265,1266,6043,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,DOCTORADO EN CIENCIAS SOCIALES
1266,1267,5344,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,DOCTORADO EN DERECHO Y ARGUMENTACIÓN JURÍDICA
1267,1268,6169,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,DOCTORADO EN ESTUDIOS TERRITORIALES
1268,1269,690,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,DOCTORADO EN INVESTIGACIÓN EDUCATIVA
1269,1270,5582,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,MAESTRÍA EN BIOTECNOLOGÍA Y MANEJO DE RECURSOS NATURALES
1270,1271,1869,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,MAESTRÍA EN CIENCIAS BIOLÓGICAS
1271,1272,6706,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,MAESTRÍA EN CIENCIAS EN GESTIÓN INTEGRAL DE CUENCAS HIDROGRÁFICAS
1272,1273,701,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,MAESTRÍA EN CIENCIAS EN INGENIERÍA QUÍMICA
1273,1274,4056,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,MAESTRÍA EN CIENCIAS EN SISTEMAS DEL AMBIENTE
1274,1275,5166,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,MAESTRÍA EN ESTUDIOS DE GÉNERO
1275,1276,5895,TLAXCALA,UNIVERSIDAD AUTONOMA DE TLAXCALA,MAESTRÍA INTERINSTITUCIONAL EN DERECHOS HUMANOS
1276,1277,1399,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,DOCTORADO EN CIENCIAS AGROPECUARIAS Y MANEJO DE RECURSOS NATURALES TROPICALES
1277,1278,4170,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,DOCTORADO EN CIENCIAS ANTROPOLÓGICAS
1278,1279,2140,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,DOCTORADO EN CIENCIAS DE LA SALUD
1279,1280,6354,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,DOCTORADO EN CIENCIAS MATEMÁTICAS
1280,1281,3453,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,DOCTORADO EN CIENCIAS SOCIALES
1281,1282,2978,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,DOCTORADO EN INGENIERÍA
1282,1283,1642,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,ESPECIALIZACIÓN EN DOCENCIA
1283,1284,7273,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,ESPECIALIZACIÓN EN MEDICINA DEL DEPORTE
1284,1285,2659,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN
1285,1286,1388,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,MAESTRÍA EN CIENCIAS MATEMÁTICAS
1286,1287,1389,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,MAESTRÍA EN CIENCIAS QUÍMICAS Y BIOQUÍMICAS
1287,1288,766,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,MAESTRÍA EN INGENIERÍA
1288,1289,970,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,MAESTRÍA EN INNOVACIÓN EDUCATIVA
1289,1290,1610,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,MAESTRÍA EN INVESTIGACIÓN EDUCATIVA
1290,1291,2322,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,MAESTRÍA EN INVESTIGACIÓN EN SALUD
1291,1292,1118,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,MAESTRÍA EN PSICOLOGÍA APLICADA
1292,1293,1398,YUCATÁN,UNIVERSIDAD AUTONOMA DE YUCATAN,"POSGRADO INSTITUCIONAL EN CIENCIAS AGROPECUARIAS Y MANEJO DE RECURSOS 
NATURALES TROPICALES"
1293,1294,3280,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN CIENCIA POLÍTICA
1294,1295,6276,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN CIENCIA Y TECNOLOGÍA DE LA LUZ Y LA MATERIA
1295,1296,5870,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN CIENCIAS AGROPECUARIAS
1296,1297,3911,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN CIENCIAS BÁSICAS
1297,1298,6178,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN CIENCIAS CON ORIENTACIÓN EN MEDICINA MOLECULAR
1298,1299,2554,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
1299,1300,6595,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,"DOCTORADO EN ESTUDIOS CONTEMPORANEOS: POLÍTICA, TERRITORIO Y SOCIEDAD"
1300,1301,1649,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN ESTUDIOS DEL DESARROLLO
1301,1302,3245,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN ESTUDIOS NOVOHISPANOS
1302,1303,5955,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN FILOSOFÍA E HISTORIA DE LAS IDEAS
1303,1304,6748,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN GESTIÓN EDUCATIVA Y POLÍTICAS PÚBLICAS
1304,1305,618,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN HISTORIA
1305,1306,6466,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN INGENIERÍA PARA LA INNOVACIÓN TECNOLÓGICA
1306,1307,5255,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,DOCTORADO EN INGENIERÍA Y TECNOLOGÍA APLICADA
1307,1308,7129,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,ESPECIALIDAD EN RUMIANTES
1308,1309,7130,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN BIOCIENCIAS
1309,1310,5034,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIA E INGENIERÍA DE LOS MATERIALES
1310,1311,40,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIA POLÍTICA
1311,1312,6268,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIA Y TECNOLOGÍA DE LA LUZ Y LA MATERIA
1312,1313,5540,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIA Y TECNOLOGÍA QUÍMICA
1313,1314,5110,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIAS BIOMÉDICAS
1314,1315,2842,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIAS DE LA INGENIERÍA
1315,1316,5444,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIAS DEL PROCESAMIENTO DE LA INFORMACIÓN
1316,1317,2296,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIAS FÍSICAS
1317,1318,669,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIAS NUCLEARES
1318,1319,4071,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN CIENCIAS SOCIALES
1319,1320,6409,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN COMPETENCIA LINGÜÍSTICA Y LITERARIA
1320,1321,5650,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN ECONOMÍA REGIONAL Y SECTORIAL
1321,1322,7401,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN ETNOLOGÍA Y ESTUDIOS COMUNITARIOS
1322,1323,617,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN HISTORIA
1323,1324,7155,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,"MAESTRÍA EN HUMANIDADES, LINEA FORMACIÓN DOCENTE"
1324,1325,2871,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN INGENIERÍA APLICADA
1325,1326,6465,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN INGENIERIA PARA LA INNOVACIÓN TECNOLÓGICA
1326,1327,5254,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN INGENIERÍA Y TECNOLOGÍA APLICADA
1327,1328,3449,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN MATEMÁTICA EDUCATIVA
1328,1329,2418,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN MATEMÁTICAS
1329,1330,6320,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN PENSAMIENTO CRÍTICO Y HERMENÉUTICA
1330,1331,6803,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN PRODUCCIÓN ANIMAL EN ZONAS ÁRIDAS
1331,1332,5640,ZACATECAS,UNIVERSIDAD AUTONOMA DE ZACATECAS,MAESTRÍA EN TECNOLOGÍA INFORMÁTICA EDUCATIVA
1332,1333,6342,CAMPECHE,UNIVERSIDAD AUTONOMA DEL CARMEN,DOCTORADO EN CIENCIAS DE LA INGENIERÍA
1333,1334,5292,CAMPECHE,UNIVERSIDAD AUTONOMA DEL CARMEN,MAESTRÍA EN CIENCIAS AMBIENTALES
1334,1335,3412,CAMPECHE,UNIVERSIDAD AUTONOMA DEL CARMEN,MAESTRÍA EN CIENCIAS EN RESTAURACIÓN ECOLÓGICA
1335,1336,5230,CAMPECHE,UNIVERSIDAD AUTONOMA DEL CARMEN,MAESTRÍA EN INGENIERÍA MECATRÓNICA
1336,1337,5238,CAMPECHE,UNIVERSIDAD AUTONOMA DEL CARMEN,MAESTRÍA EN INNOVACIÓN Y PRÁCTICAS EDUCATIVAS
1337,1338,5032,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS AGROPECUARIAS
1338,1339,7123,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS AGROPECUARIAS
1339,1340,3199,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS AMBIENTALES
1340,1341,312,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS AMBIENTALES
1341,1342,6704,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS COMPUTACIONALES
1342,1343,2359,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS DE LA EDUCACIÓN
1343,1344,4298,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS DE LOS ALIMENTOS Y SALUD HUMANA
1344,1345,4192,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS DE LOS MATERIALES
1345,1346,432,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS DE LOS MATERIALES
1346,1347,6691,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS DEL COMPORTAMIENTO SALUDABLE
1347,1348,5546,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS ECONÓMICO ADMINISTRATIVAS
1348,1349,6125,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS EN AUTOMATIZACIÓN Y CONTROL
1349,1350,652,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS EN BIODIVERSIDAD Y CONSERVACIÓN
1350,1351,6167,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO","DOCTORADO EN CIENCIAS EN INGENIERÍA CON ÉNFASIS EN ANÁLISIS Y MODELACIÓN DE 
SISTEMAS"
1351,1352,2197,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN CIENCIAS SOCIALES
1352,1353,6206,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN POLÍTICAS PÚBLICAS
1353,1354,2858,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN QUÍMICA
1354,1355,1590,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",DOCTORADO EN QUÍMICA DOCTORADO DIRECTO
1355,1356,2217,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",MAESTRÍA EN CIENCIA DE LOS ALIMENTOS
1356,1357,2232,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",MAESTRÍA EN CIENCIAS BIOMÉDICAS Y DE LA SALUD
1357,1358,1787,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",MAESTRÍA EN CIENCIAS DE LA EDUCACIÓN
1358,1359,2622,HIDALGO,"UNIVERSIDAD AUTONOMA DEL ESTADO DE 
HIDALGO",MAESTRÍA EN CIENCIAS DE LOS MATERIALES
